YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,SLP,T2M,TS,T2M_MAX,T2M_MIN
2019,1,1,0,24.61,3.42,1.41,101.84,19.42,18.41,29.78,10.36
2019,1,2,0,26.78,2.83,1.36,101.78,20.76,20.2,31.47,11.86
2019,1,3,0,25.94,3.21,1,101.85,20.25,20.12,30.53,13.43
2019,1,4,0,29.66,3.31,1.23,101.78,19.96,19.94,30.76,12.06
2019,1,5,0,37.34,3.34,0.79,101.58,20.26,20.95,31.08,11.26
2019,1,6,0,45.66,4.21,1.16,101.44,21.11,21.7,30.63,13.09
2019,1,7,0,43.4,3.25,0.79,101.49,20.92,21.63,30.28,14.45
2019,1,8,0,26.8,5.11,2.07,101.54,18.1,18.21,27.62,9.81
2019,1,9,0,23.38,3.4,1.26,101.51,19.22,18.85,29.35,11.61
2019,1,10,0,30.35,3.42,1.2,101.49,18.84,19.27,29.78,9.59
2019,1,11,0,39.21,3.45,0.42,101.5,19.71,20.64,30.28,10.8
2019,1,12,0,48.2,5.05,1.75,101.41,21.67,22.49,31.22,13.77
2019,1,13,0,51.07,5.2,0.45,101.46,22.67,23.67,30.9,15.6
2019,1,14,0,47.75,3.8,1.08,101.5,21.95,22.9,30.25,15.82
2019,1,15,0,36.06,4.21,2.65,101.63,20.02,20.84,29.01,13.24
2019,1,16,0,29.26,3.11,1.33,101.57,20.33,20.89,30.48,12.53
2019,1,17,0,24.39,2.92,0.74,101.4,21.17,21.25,31.09,13.78
2019,1,18,0,23.45,2.94,1.1,101.44,21.55,21.34,31.42,14.22
2019,1,19,0,22.45,3.03,1.84,101.52,21.25,21.07,31.26,11.61
2019,1,20,0,20.48,3.27,1.23,101.57,21.8,21.47,32.14,14.04
2019,1,21,0,25.34,4.87,1.84,101.38,22.04,22.65,32.89,12.32
2019,1,22,0,41.9,5.74,2.01,101.3,22.6,23.37,31.68,14.95
2019,1,23,0,48.48,6.13,1.04,101.31,23.12,23.65,31.58,15.66
2019,1,24,0.08,47.98,4.8,0.55,101.34,23.9,24.96,31.82,15.36
2019,1,25,7.45,57.91,5.75,1.27,101.28,24.28,25.16,30.52,19.42
2019,1,26,9.01,80.67,5.27,3.22,101.56,20.13,20.7,23.82,17.09
2019,1,27,0.34,78.2,5.61,2.79,101.71,18.54,19.2,24.01,14.74
2019,1,28,0.01,60.84,5.56,2.29,101.88,17.04,17.88,25.18,11.74
2019,1,29,0,42.05,5.73,2.9,101.95,14.73,15.43,24.49,6.78
2019,1,30,0,36.08,3.42,1.9,101.78,15.92,16.01,26.38,7.41
2019,1,31,0,41.08,3.59,2.14,101.62,17.96,18.65,28.76,8.03
2019,2,1,0,51.26,3.97,1.75,101.54,20.58,21.64,29.95,11.77
2019,2,2,0,47.63,3.74,2.21,101.47,21.46,22.34,30.17,14.47
2019,2,3,0,42.38,5.78,2.82,101.63,20.99,21.68,30.35,13.49
2019,2,4,0,43.1,4.71,2.31,101.8,21.21,22.17,30.84,12.61
2019,2,5,0,39.25,3.86,2.23,101.69,22.33,23.12,31.71,14.42
2019,2,6,0,37.14,4.19,1.09,101.27,23.93,24.91,33.07,16.01
2019,2,7,0,43.65,6.63,1.39,101.08,25.26,25.93,33.3,17.78
2019,2,8,0,34.25,5.16,1.72,101.35,23.16,24.57,30.71,17.49
2019,2,9,0,19.75,4.93,3.13,101.62,18.97,20.26,28.59,12.06
2019,2,10,0,23.03,4.4,1.22,101.72,18.01,19.58,29.81,7.81
2019,2,11,0,26.57,3.88,1.8,101.66,20.99,22.27,31.93,11.47
2019,2,12,0,32.61,3.89,2.35,101.73,22.95,24.37,32.88,13.82
2019,2,13,0,30.28,3.74,2.77,101.72,23.99,25.39,33.97,15.23
2019,2,14,0,28.54,3.97,0.86,101.37,24.96,26.74,35.41,14.89
2019,2,15,1.37,38.73,5.5,0.3,101.23,27,28.19,35.63,17.9
2019,2,16,0.02,45.52,3.65,1.09,101.25,25.97,27.76,33.97,19.09
2019,2,17,0,40.41,5.04,2.39,101.28,23.04,24.62,32,15.76
2019,2,18,0,29.94,3.39,1.25,101.13,23.36,25.12,33.77,13.96
2019,2,19,0,23.83,3.94,0.47,101.12,26.26,27.85,37.08,16.3
2019,2,20,0,39.38,5.47,2.75,101.39,27.31,28.83,36.67,18.43
2019,2,21,0.12,38.51,3.61,1.39,101.5,29,31,37.31,20.11
2019,2,22,0,34.12,3.46,1.02,101.32,30.37,32.05,38.13,22.54
2019,2,23,0,32.01,2.83,0.36,101.11,29.55,31.55,38.1,21.86
2019,2,24,0,27.56,4.46,1.89,100.85,29.65,31.31,38.8,21.17
2019,2,25,0,18.57,4.29,2.01,100.86,27.54,29.33,36.8,18.9
2019,2,26,0,18.82,3.71,1.31,100.82,27,29.27,36.09,18.41
2019,2,27,0,23.44,5.35,0.62,100.81,26.1,28.51,35.03,17.34
2019,2,28,0,27.63,4.03,2.38,101.05,24.79,27.13,33.17,17.32
2019,3,1,0,25.96,4.68,1.04,101.12,24.56,27.21,33.87,15.14
2019,3,2,0,43.08,5.19,2.18,101.08,27.2,29.47,34.94,17.99
2019,3,3,0,37.84,7.13,2.75,100.82,29.41,31.11,38.1,22.94
2019,3,4,0,21.5,4.32,0.15,100.69,28.65,30.44,37.83,20.82
2019,3,5,0,27.68,5.67,3.03,100.74,27.31,29.16,35.64,20.66
2019,3,6,0,22.69,4.47,2.94,100.94,25.81,27.98,34.86,17.29
2019,3,7,0,25.91,4.71,2.36,100.99,25.3,27.56,34.74,15.99
2019,3,8,0,21.13,3.75,0.83,101.12,26.7,29.16,36.76,16.82
2019,3,9,0,21.06,3.23,1.1,101.08,28.23,30.42,37.82,18.54
2019,3,10,0,22.33,3.18,0.4,101.08,29.02,31.4,38.33,18.76
2019,3,11,0,25.54,3.15,1.64,101.08,30.15,32.59,39.46,20.27
2019,3,12,0,26.98,4.56,1.39,101.17,30.69,33.18,37.93,22.78
2019,3,13,0,28.57,7.36,0.29,101.1,31.99,32.86,38.17,25.7
2019,3,14,0.01,22.69,4.99,1.29,101.12,31.2,32.95,39.4,22.85
2019,3,15,0,22.65,3.9,0.75,101.18,30.47,33.38,39.15,22.76
2019,3,16,0,24.03,4.92,1.62,101.1,30.95,33.07,40.04,22.31
2019,3,17,0,30.16,6.3,2.72,101.04,31.36,33.34,39.78,22.53
2019,3,18,0.01,23.32,6.29,0.96,101.03,30.92,32.89,39.31,22.51
2019,3,19,0,32.43,6.27,1.3,100.85,29.7,32.77,38.77,20.47
2019,3,20,0.61,37.37,6.88,2.38,100.77,30.86,32.81,38.13,23.13
2019,3,21,1.59,36.62,5.68,1.04,100.9,31.32,33.83,38.9,24.21
2019,3,22,0.82,30.07,3.88,0.38,101.03,31.12,34.12,39.08,22.73
2019,3,23,0,28.93,5.74,2.36,101.05,30.68,33.01,39.12,22.48
2019,3,24,0,24.84,5.51,2.8,101,30.9,33.36,39.43,22.42
2019,3,25,0,22.54,4.69,2.11,100.94,31.48,33.9,40.61,21.81
2019,3,26,0,22.07,3.3,0.65,100.96,32.74,35.09,41.19,24.23
2019,3,27,0,21.93,5.22,2.03,101.16,31.15,33.14,39.89,22.51
2019,3,28,0,17.52,4.71,1.56,101.07,31.11,33.35,40.61,21.84
2019,3,29,0,15.06,3.86,1.8,100.87,31.93,33.58,41.31,22.72
2019,3,30,0,17.97,3.61,0.63,100.73,33.1,35.59,42.18,23.25
2019,3,31,0,20.17,3.54,2.29,100.68,33.72,36.01,42.68,24.71
2019,4,1,0,16.04,4.92,2.39,100.71,33.31,35.61,42.32,24.51
2019,4,2,0,16.89,4.48,2.61,100.75,32.86,35.17,42.15,23.46
2019,4,3,0,21.61,4.34,1.78,100.76,33.76,36.41,42.35,23.66
2019,4,4,0.03,24.34,5.19,1.74,100.82,35.29,38.19,42.79,27.47
2019,4,5,0.02,22.88,7.32,1.19,100.84,35.05,36.82,42.51,26.99
2019,4,6,0.08,20.96,6.03,2.43,100.75,34.66,37.14,43.22,26.72
2019,4,7,0,16.33,4.8,1.1,100.64,34.39,36.72,42.63,25.3
2019,4,8,0,18.52,3.22,0.29,100.55,34.72,36.8,42.65,25.31
2019,4,9,0,21.54,4.61,1.47,100.64,33.93,36.87,42.88,24.31
2019,4,10,0,13.73,3.07,0.5,100.75,34.33,36.71,42.77,24.03
2019,4,11,0,16.14,3.19,1.18,100.64,34.72,37.46,43.52,24.85
2019,4,12,0.01,23.5,4.39,1,100.64,34.95,38.3,43.44,25.81
2019,4,13,0.88,22.47,4.45,0.06,100.67,35.22,38.7,43.73,26.6
2019,4,14,0,23.99,4.34,1.16,100.69,35.34,39.07,43.59,26.32
2019,4,15,0.01,20.96,5.07,0.16,100.64,35.63,38.59,43.1,27.53
2019,4,16,1.76,21.73,4.49,0.34,100.67,34.83,37.31,41.8,28.34
2019,4,17,0.44,28.36,3.07,0.73,100.78,32.93,36.29,39.85,25.19
