YEAR,MO,DY,SLP,T2M,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
2022,1,1,101.84,19.38,20.14,26.74,13.37,77.51,0,3.26,1.5
2022,1,2,101.71,19.55,20.18,27.12,14.42,73.87,0,3.27,1.96
2022,1,3,101.61,18.68,18.99,26.85,12.39,72.49,0,3.12,1.58
2022,1,4,101.6,18.99,19.36,27.5,12.24,71.09,0,3.15,1.9
2022,1,5,101.53,20.12,20.24,28.57,13.26,70.83,0,3.03,0.88
2022,1,6,101.42,20.61,20.87,28.81,14.35,69.01,0,4.48,2.06
2022,1,7,101.41,20.77,21.04,29.04,14.27,68.81,0,5.5,2.54
2022,1,8,101.42,21.08,21.12,26.15,15.89,75.43,0.6,6.15,1.65
2022,1,9,101.24,22.23,22.27,27.89,17.57,76.96,5.61,5.95,0.55
2022,1,10,101.29,21.56,22.05,27.24,17.67,83.03,14.13,2.21,0.78
2022,1,11,101.28,20.48,20.82,25.24,16.99,87.28,7.27,3.32,0.72
2022,1,12,101.31,19.12,19.75,24.04,15.69,85.12,2.48,3.69,1.81
2022,1,13,101.28,19.82,20.47,25.76,15.5,81.33,4.55,4.64,2.03
2022,1,14,101.24,19.98,20.57,26,15.75,83.21,3.79,4.24,0.18
2022,1,15,101.49,19.39,20.16,25.36,14.81,80.67,0.49,4.41,2.13
2022,1,16,101.66,19.32,19.93,26.21,13.89,77.01,0.01,4.55,1.84
2022,1,17,101.81,19.1,19.56,26.57,12.86,74.75,11.38,3.69,1.62
2022,1,18,101.63,18.53,18.62,25.97,12.59,76.01,47.73,3.58,0.87
2022,1,19,101.45,18.63,17.94,25.74,12.09,68.61,0,3.4,0.72
2022,1,20,101.11,19.72,18.73,27.04,13.4,61.85,0,3,0.83
2022,1,21,101.06,20.23,19.62,28.27,12.76,66.88,0,4.34,1.38
2022,1,22,100.84,21.92,20.4,29.18,15.43,58.88,0,3.47,0.29
2022,1,23,100.9,19.73,20.16,26.55,14.24,71.65,0,4.7,1.58
2022,1,24,101.12,16.13,16.8,24.01,9.46,60.04,0,3.89,1.43
2022,1,25,101.24,15.41,15.89,23.39,8.59,61.73,0,3.59,1.51
2022,1,26,101.36,15.66,15.85,23.86,8.76,60.98,0,3.52,2.27
2022,1,27,101.51,15.22,15.36,24.29,7.69,58.92,0,4.55,2.53
2022,1,28,101.61,14.71,14.89,24.05,6.47,56.42,0,3.57,2.26
2022,1,29,101.58,16.17,15.45,25.38,7.25,51.37,0,3.75,1.71
2022,1,30,101.33,19.25,16.93,27.79,12.27,40.48,0,2.58,0.22
2022,1,31,101.19,20.5,18.43,29.9,12.78,40.4,0,2.75,0.69
2022,2,1,101.13,20.51,19.13,29.72,12.78,44.52,0,2.52,0.27
2022,2,2,101.14,20.69,19.99,30.56,11.98,47.7,0,3.42,1.1
2022,2,3,100.82,21.26,20.49,31.85,12.31,53.54,0,5.9,1.29
2022,2,4,101.01,18.72,18.56,26.93,11.75,47.75,0,4.88,1.86
2022,2,5,101.24,18.08,17.97,27.88,9.34,43.22,0,3.44,1.33
2022,2,6,101.44,18.43,18.72,28.96,9.36,47.6,0,3.26,0.6
2022,2,7,101.4,19.57,19.93,29.95,10.54,49.65,0,3.41,0.33
2022,2,8,101.21,21.05,21.6,30.21,12.57,50.81,0,4.06,1.28
2022,2,9,101.14,23.27,23.88,30.94,15.66,64.4,0,6.02,0.13
2022,2,10,101.34,21.96,23.08,28.75,16.3,70.14,0,3.48,0.84
2022,2,11,101.51,19.5,20.23,27.93,12.88,58.81,0,5.32,2.48
2022,2,12,101.39,19.09,19.46,29.06,10.3,46.45,0,3.46,2.12
2022,2,13,101.18,19.34,20,29.99,10.43,45.32,0,3.6,1.24
2022,2,14,101.11,20.23,21,30.65,11.04,46.22,0,3.65,1.75
2022,2,15,101.04,21.76,22.93,30.68,12.88,57,0,4.49,1.15
2022,2,16,100.88,23.41,24.63,30.06,17.71,61.72,0.35,3.53,0.78
2022,2,17,100.89,23.43,24.5,29.99,18.45,62.42,0.06,4.07,2.32
2022,2,18,101.04,23.65,24.78,30.38,18.43,58.33,0,4.25,1.22
2022,2,19,101.14,24.83,26.09,32.15,18.14,56.51,0,4.26,0.33
2022,2,20,100.88,25.15,25.63,33.87,18.61,48.05,0,6.48,2.12
2022,2,21,100.94,23.59,23.75,33.57,14.16,34.04,0,3.59,2.12
2022,2,22,101.13,24.53,24.44,34.37,17.79,30.39,0,3.38,0.71
2022,2,23,101.32,24.2,25.09,34.81,13.83,44.67,0,5.67,2.25
2022,2,24,101.32,26.1,27.24,35.43,18.06,50.35,0,6.31,1.92
2022,2,25,101.31,26.21,28.27,34.49,18.08,46.87,0,3.39,0.9
2022,2,26,101.35,25.59,26.67,34.17,18.72,45.17,0,6,2.68
2022,2,27,101.36,25.63,27.04,34.63,17.76,43.79,0,5.57,1.97
2022,2,28,101.29,25.68,27.11,34.73,17.58,37.01,0,4.69,1.88
2022,3,1,101.3,25.91,27.59,35.12,17.03,34.44,0.02,3.46,0.43
2022,3,2,101.3,26.38,27.66,35.29,17.56,35.75,0,3.54,1.98
2022,3,3,101.26,26.3,27.24,35.28,17.82,39.23,0,5.97,2.12
2022,3,4,101.26,27.3,28.88,34.94,19.96,41.47,0,5.53,1.47
2022,3,5,101.17,27.65,29.45,35.58,20.37,39.25,0,4,0.94
2022,3,6,101.11,27.5,28.54,35.64,20.26,36.04,0,3.15,1.73
2022,3,7,101.18,26.37,27.97,34.93,18.16,38.26,0,4.28,2.23
2022,3,8,101.15,26.66,28.16,35.49,18.05,33,0,3.39,2.17
2022,3,9,101.1,27.05,28.49,36.27,18.29,30.02,0,3.48,1.93
2022,3,10,101.03,28.33,29.56,36.01,19.69,31.38,0,2.82,1.07
2022,3,11,100.97,29.17,30.3,36.28,22.72,30.84,0,3.25,1.13
2022,3,12,100.96,28.17,30.28,36.25,19.61,32.22,0,4.59,1.58
2022,3,13,101.03,28.57,29.99,36.96,21.32,28.38,0,3.28,0.85
2022,3,14,101,29.72,29.46,38.31,20.17,18.49,0,3.67,0.67
2022,3,15,100.75,30.46,30.54,39.16,21.24,18.82,0,4.51,0.27
2022,3,16,100.57,31.99,31.92,40.76,22.06,19.36,0,4.79,0.46
2022,3,17,100.5,32.05,32.34,41.41,20.98,18.4,0,4.58,1.07
2022,3,18,100.43,31.5,33.1,40.8,23.03,20.29,0,3.3,0.83
2022,3,19,100.38,31.44,33.41,40.29,22.18,27.74,0,4.69,0.85
2022,3,20,100.39,31.5,33.59,40.26,23.19,25.39,0,3.9,1.75
2022,3,21,100.54,31.83,33.2,40.84,23.71,20.31,0,4.96,2.26
2022,3,22,100.6,32.67,33.51,40.44,24.38,18.88,0,3.06,0.2
2022,3,23,100.57,32.02,33.13,40.77,22.84,16.43,0,4.72,1.3
2022,3,24,100.52,32.1,34.32,40.74,23.54,21.09,0,3.11,0.95
2022,3,25,100.61,32.93,34.38,40.73,25.55,28.66,0,5.27,1.48
2022,3,26,100.76,33.55,34.99,41.47,24.9,21.89,0,2.66,0.62
2022,3,27,100.82,33.06,34.64,41.83,24.21,18.79,0,4.4,1.5
2022,3,28,100.77,33.33,34.52,41.98,25.01,14.68,0,2.84,0.72
2022,3,29,100.61,32.79,34.42,42.55,23.12,13.68,0,4.25,2.42
2022,3,30,100.56,33.17,34.94,42.79,22.19,12.47,0,4.2,1.03
2022,3,31,100.6,34.04,34.96,42.88,23.06,10.17,0,3.69,0.18
2022,4,1,100.62,34,35.31,42.8,22.69,11.92,0,2.9,0.26
2022,4,2,100.76,33.56,35.7,42.16,23.9,21.34,0,2.7,0.55
2022,4,3,100.69,33.94,36.56,42.45,24.81,24.74,0,4.27,0.56
