YEAR,MO,DY,T2M,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,SLP
2024,1,1,20.38,20.85,29.22,13.61,67.69,0,3.44,2,101.51
2024,1,2,20.59,21.01,29.18,13.98,65.69,0,2.91,1.87,101.45
2024,1,3,21.11,21.57,29.24,14.89,68.11,0,3.77,1.82,101.39
2024,1,4,21.97,22.56,29.96,15.46,64.69,0,4.1,1.87,101.36
2024,1,5,21.94,22.45,29.52,16.32,60.79,0,5.3,1.69,101.38
2024,1,6,21.51,22.4,29.59,14.79,60.31,0,4.49,1.84,101.47
2024,1,7,21.37,22.15,29.71,14.76,57.55,0,4.87,2.5,101.57
2024,1,8,22.01,22.57,30.78,15.42,55.54,0,4.51,2.11,101.61
2024,1,9,22.6,22.92,30.5,15.4,52.02,0,4.56,1.37,101.59
2024,1,10,23.39,24.36,31.29,17.2,51.81,0,3.04,0.45,101.5
2024,1,11,23.13,24.04,31.1,16.62,57.27,0,3.39,1.87,101.55
2024,1,12,23.02,24.02,31.44,16.26,61.69,0,3.97,1.37,101.51
2024,1,13,23.21,24.03,31.58,16.52,59.7,0,3.41,2.12,101.5
2024,1,14,23.5,24.34,32,17.44,53.72,0,3,0.48,101.41
2024,1,15,22.38,23.36,31.79,15.41,51.84,0,3.09,0.66,101.33
2024,1,16,21.81,22.44,31.32,13.1,52.59,0,2.75,0.57,101.19
2024,1,17,23.65,23.59,31.78,15.74,56.55,0,4.37,0.43,101.05
2024,1,18,23.88,24.8,30.79,17.04,58.64,0,2.89,0.77,101.2
2024,1,19,23.58,24.95,30.21,17.05,57.5,0,3.59,0.99,101.31
2024,1,20,24.08,24.72,30.16,19.05,59.86,0,4.94,0.49,101.34
2024,1,21,23.73,24.97,29.89,19.27,60.93,0,3.37,1.34,101.41
2024,1,22,23.08,24.46,31.22,15.24,56.51,0,3.1,0.73,101.47
2024,1,23,24.08,25.3,31.2,18.25,62.01,0,3.75,1.81,101.31
2024,1,24,20.87,22.04,28.87,14.69,55.16,0,3.88,2.51,101.47
2024,1,25,18.09,19.41,27.74,9.61,41.65,0,4.72,2.36,101.75
2024,1,26,19.69,21,29.95,11.04,48.99,0,3.69,0.79,101.86
2024,1,27,20.56,21.46,30.97,12.21,40.56,0,3.48,1.93,101.83
2024,1,28,21.68,22.27,31.76,12.98,35.61,0,3.09,1.04,101.71
2024,1,29,22.65,23.22,32.33,14.74,37.15,0,2.93,0.52,101.6
2024,1,30,23,24.25,31.63,15.32,41.36,0,3.01,0.4,101.46
2024,1,31,24.32,24.61,32.81,16.15,41.41,0,3.86,0.39,101.34
2024,2,1,24.39,24.96,32.3,17.2,41.08,0.65,4.22,1.57,101.33
2024,2,2,23.48,24.75,32.1,16.26,48.89,0.44,3.29,2.2,101.46
2024,2,3,23.3,24.8,32.44,15.52,47.77,0,4.13,2.3,101.61
2024,2,4,24.6,25.94,33.8,16.41,39.04,0,3.14,1.52,101.64
2024,2,5,26.39,26.72,35.17,17.45,34.94,0,3.75,0.22,101.52
2024,2,6,26.82,27.37,35.03,18.59,37.3,0,3.93,1.37,101.5
2024,2,7,25.85,27.05,34.68,18.24,38.12,0,3.18,1.94,101.54
2024,2,8,23.72,25.2,31.72,17.05,38.87,0,6.08,2.7,101.6
2024,2,9,23.89,25.81,33.52,15.07,37.32,0,4.26,1.4,101.59
2024,2,10,25.34,26.81,33.75,16.33,44.73,0.06,5.24,1.77,101.57
2024,2,11,27.71,29.17,35.09,20.58,46.36,0.66,6.07,1.72,101.55
2024,2,12,27.53,28.9,34.7,20.61,43.17,0.09,6.78,2.14,101.53
2024,2,13,27.22,28.6,34.94,20.68,36.32,0,6.83,1.7,101.46
2024,2,14,27.66,28.93,35.43,20.19,34.99,0,5.72,0.77,101.38
2024,2,15,28.18,30.43,35.68,21.73,30.66,0,3.1,0.7,101.48
2024,2,16,26.91,28.96,35.14,19.39,30.12,0,3.72,1.82,101.6
2024,2,17,26.41,28.58,35.18,18.07,32.76,0,3.02,0.18,101.37
2024,2,18,26.57,28.46,35.31,18.38,27.31,0,4.25,0.85,101.19
2024,2,19,27.25,28.64,36.19,18.87,29.86,0,5.26,0.97,101.18
2024,2,20,27.7,28.82,35.72,18.82,31.31,0,3.38,0.5,101.13
2024,2,21,27.8,28.27,35.7,19.16,24.52,0,5.02,0.74,101.02
2024,2,22,25.94,27.5,34.44,18.69,31.48,0,6.11,2.58,101.11
2024,2,23,24.79,26.98,33.45,16.06,26.07,0,3.2,1.37,101.22
2024,2,24,26.04,27.55,35.54,16.88,26.64,0,3.46,1.38,101.13
2024,2,25,27.04,29.19,34.44,19.67,44.47,0,3.77,0.81,101.15
2024,2,26,28.44,30.23,34.95,22.34,46.49,0.07,6.23,2.25,101.24
2024,2,27,28.88,31.42,36.38,20.92,39.34,0,5.53,0.44,101.28
