YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,SLP,T2M,TS,T2M_MAX,T2M_MIN
2019,1,1,0,24.4,4.29,1.42,101.77,19.05,18.5,29.43,10.17
2019,1,2,0,27.93,3.4,0.93,101.76,20.76,19.8,30.45,13.79
2019,1,3,0,37.4,3.73,1.15,101.8,20.46,20.6,30.78,12.87
2019,1,4,0,35.13,3.86,2.26,101.72,20.11,20.42,30.18,12.21
2019,1,5,0,57.59,4.28,2.23,101.55,20.53,21.45,30.39,12.64
2019,1,6,0,60.69,4.76,2.39,101.45,20.54,21.57,29.34,13.39
2019,1,7,0,54.18,2.92,1.71,101.42,21.26,22.36,30.63,13.95
2019,1,8,0,32.39,4.34,2.71,101.43,19.87,20.56,29.59,13.18
2019,1,9,0,20.72,3.9,2.44,101.4,19.97,20.09,30.75,12.29
2019,1,10,0,27.5,3.32,1.67,101.4,19.99,20.39,30.65,12.15
2019,1,11,0,59.24,5.22,1.26,101.45,21.03,22.18,30.18,13.84
2019,1,12,0,60.8,4.92,2.34,101.43,21.89,23.24,30.86,15.33
2019,1,13,0,58.36,4.87,2.2,101.48,22.03,23.46,30.33,16.06
2019,1,14,0,54.21,3.65,2.11,101.45,21.85,23.1,30.67,14.32
2019,1,15,0,45.43,4.35,2,101.54,21.19,22.05,29.84,13.97
2019,1,16,0,33.34,3.52,2.08,101.51,20.91,21.92,30.81,12.74
2019,1,17,0,31.82,3.51,0.9,101.34,21.75,22.35,31.69,15.09
2019,1,18,0,42.36,3.24,1.48,101.38,21.92,22.58,31.75,14.85
2019,1,19,0,34.48,3.43,1.25,101.47,21.32,21.88,30.7,14.25
2019,1,20,0,37.79,3.61,1.3,101.53,22.23,22.57,31.73,15.39
2019,1,21,0,47.4,5.52,2.23,101.4,22.13,23.37,31.81,13.57
2019,1,22,0,52.86,5.89,2.72,101.37,22.08,23.46,31.16,14.72
2019,1,23,0,56.94,5.14,0.82,101.31,22.76,24.55,31.76,15.76
2019,1,24,0,57.21,5.96,1.4,101.33,24.33,26.38,32.15,17.74
2019,1,25,0.46,60.56,6.17,2.38,101.28,24.23,25.66,31.27,17.87
2019,1,26,6.93,70.02,5.79,1.31,101.38,23.58,25.22,29.75,19.62
2019,1,27,9.12,75.62,4.64,1.24,101.54,21.41,22.93,27.74,17.48
2019,1,28,5.69,75.88,5.07,2.56,101.71,18.93,19.7,24.5,14.24
2019,1,29,0,40.47,5.01,2.97,101.78,16.94,17.68,25.98,10.41
2019,1,30,0,36.31,4.06,2.2,101.69,16.96,17.59,27.45,8.11
2019,1,31,0,59.67,4.56,2.42,101.59,18.76,19.59,27.57,10.9
2019,2,1,0,67.36,4.41,2.24,101.52,20.88,22.15,29.19,14.42
2019,2,2,0,62.89,3.81,1.86,101.43,21.35,22.5,29.66,14.24
2019,2,3,0,58.85,4.05,1.77,101.57,21.29,22.27,29.79,13.9
2019,2,4,0,62.55,4.37,2.18,101.75,21.9,22.97,30.17,14.95
2019,2,5,0,58.43,2.77,1.36,101.64,22.72,23.97,31.08,15.73
2019,2,6,0,47.87,3.3,0.92,101.3,23.44,24.35,31.57,16.9
2019,2,7,0,57.6,6.32,2.61,101.14,24.02,24.91,31.67,17.15
2019,2,8,0,63.28,4.23,1.15,101.23,24.27,26.01,31.57,17.24
2019,2,9,0,41.24,4.73,0.57,101.42,22.74,24.31,31.4,15.98
2019,2,10,0,25.53,3.77,0.51,101.57,21.29,23.12,32.2,11.92
2019,2,11,0,48.96,4.29,2.43,101.61,22.38,24.03,31.21,13.7
2019,2,12,0,58.63,4.25,2.46,101.68,24.2,25.9,32.33,17.39
2019,2,13,0,54.03,3.97,2.09,101.7,23.94,25.62,32.78,17.26
2019,2,14,0,48.11,4.46,2.08,101.37,24.49,26.3,34.41,15.5
2019,2,15,0.3,51.01,4.96,2.14,101.26,25.94,27.89,34.71,16.98
2019,2,16,0.31,48.1,4.56,1.08,101.2,26.38,28.31,34.52,19.19
2019,2,17,0,51.04,4.99,1.88,101.14,25.81,28.08,34.77,19.32
2019,2,18,0,32.21,3.24,1.32,101.05,24.86,26.75,34.58,16.41
2019,2,19,0,35.59,4.69,1.97,101.12,26.54,28.17,35.96,17.31
2019,2,20,0,55.25,5.69,2.98,101.4,26.79,28.68,35.29,19.85
2019,2,21,0,48.07,3.54,1.88,101.55,26.95,29.13,35.59,18.46
2019,2,22,0,34.58,3.27,1.73,101.34,28.49,30.28,37.14,20.8
2019,2,23,0,30.31,2.74,1.05,101.08,28.85,30.82,37.78,20.88
2019,2,24,0,25,4.32,2.56,100.9,28.42,30.06,37.86,19.82
2019,2,25,0,29.74,4.82,0.64,100.8,27.81,29.07,37.46,19.12
2019,2,26,0,30.76,3.17,0.21,100.75,27.3,29.08,36.81,18.94
2019,2,27,0,50.63,3.23,0.84,100.71,27.35,29.54,35.41,20.27
2019,2,28,0,40.37,3.92,1.07,100.9,26.38,28.82,34.6,19.68
