YEAR,MO,DY,SLP,T2M,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
2022,1,1,101.75,20.18,20.83,26.26,14.91,80.05,0,3.05,1.44
2022,1,2,101.62,20.38,21.05,26.41,15.39,79.59,0,2.76,1.46
2022,1,3,101.56,19.34,19.69,26.88,13.45,68.96,0,2.73,0.68
2022,1,4,101.56,18.86,19.17,26.64,12.35,70.35,0,2.83,1.81
2022,1,5,101.54,19.32,19.87,26.59,14.2,76.61,0,3.57,1.9
2022,1,6,101.45,19.6,20.09,26.82,14.09,76,0,4.14,2.52
2022,1,7,101.43,20.42,20.99,27.18,15.32,75.65,0,5.77,2.31
2022,1,8,101.43,21.12,21.92,26.99,16.34,78.29,0,5.35,1.82
2022,1,9,101.25,22.06,22.87,27.87,17.7,77.68,0.3,5.16,1.33
2022,1,10,101.24,21.95,22.61,27.49,18.51,80.96,2.58,4.32,2.11
2022,1,11,101.21,22.45,22.99,27.64,18.67,79.49,5.69,4.91,1.24
2022,1,12,101.17,21.99,22.53,27.41,18.24,82.08,9.24,4.81,0.44
2022,1,13,101.18,20.74,21.24,26.31,17.16,85.1,6.77,3.48,1.8
2022,1,14,101.14,22.05,22.31,27.28,17.79,76.89,0.49,4.75,0.58
2022,1,15,101.35,20.92,21.79,26.11,17.3,81.82,2.82,3.9,0.98
2022,1,16,101.57,20.39,21.23,26.24,15.9,79.84,1.62,3.98,2.33
2022,1,17,101.72,20.18,20.96,25.97,15.98,79.53,0.15,2.79,1.9
2022,1,18,101.59,19.71,20.45,27.36,13.94,70.6,0,3.1,1.57
2022,1,19,101.39,19.47,19.59,27.22,14.43,66.3,0,3.42,1.52
2022,1,20,101.07,20.49,20.33,28.78,14.86,60.19,0,2.9,0.25
2022,1,21,101.03,20.83,20.73,30.18,13.64,61.73,0,4.71,2.14
2022,1,22,100.84,22.61,21.43,30.69,15.34,56.35,0,3.91,0.94
2022,1,23,100.86,21.09,21.44,28.27,14.12,65.39,0,5.88,2.1
2022,1,24,100.97,19.53,20.41,27.27,13.11,61.43,0,5.09,0.48
2022,1,25,101.08,18.25,19.2,26.5,11.2,62.13,0,4.07,0.17
2022,1,26,101.2,18.29,19.41,26.78,11.32,61.46,0,4.05,1
2022,1,27,101.35,17.71,18.42,26.27,11.35,55.82,0,4.75,2.88
2022,1,28,101.49,16.52,17.18,26.05,9.24,47.91,0,5.17,2.53
2022,1,29,101.48,16.83,17.27,26.99,8.32,47.93,0,4.15,1.74
2022,1,30,101.28,19.65,18.76,29.48,9.99,40.89,0,2.89,1.35
2022,1,31,101.16,21.03,19.89,30.24,13.98,39.97,0,2.9,0.77
2022,2,1,101.07,21.17,20.67,30.48,15.06,47.46,0,3.12,0.93
2022,2,2,101.09,22,21.9,31.32,14.39,50.91,0,3.25,0.12
2022,2,3,100.89,22.14,22.65,31.43,14.6,65.9,0,5.55,2.75
2022,2,4,100.94,20.2,20.66,29.02,13.3,51.14,0,5.25,2.34
2022,2,5,101.12,19.61,20.19,29.3,11.03,43.82,0,3.29,0.77
