YEAR,MO,DY,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,TS,T2M_MAX,T2M_MIN
2023,1,1,22.65,69.13,0,2.77,0.39,23.31,30.11,16.93
2023,1,2,22.19,74.37,0,3.32,1.22,23.02,28.71,16.94
2023,1,3,21.85,74.11,0,3.55,1.64,22.8,28.23,16.99
2023,1,4,21.77,75.43,0.01,4.55,2.63,22.5,27.98,17.41
2023,1,5,22.06,76.2,0,5.09,2.04,22.95,27.87,17.88
2023,1,6,21.02,77.99,0,3.56,1.58,21.75,26.53,17.36
2023,1,7,20.23,60.78,0,4.75,2.49,20.82,27.48,14.24
2023,1,8,18.05,38.76,0,4.68,2.16,17.63,27.35,10.78
2023,1,9,18.42,41.49,0,3.16,1.46,17.86,28.6,9.18
2023,1,10,20.77,39.19,0,2.94,0.82,19.21,29.71,14.05
2023,1,11,21.52,38.06,0,2.7,0.49,19.92,30.15,15.45
2023,1,12,21.45,47.08,0,3.67,0.39,20.86,30.74,12.92
2023,1,13,21.32,60.28,0,3.06,0.55,21.59,30.6,13.37
2023,1,14,21.41,64.03,0,3.44,0.36,22.12,30.6,13.89
2023,1,15,21.4,59.43,0,3.23,1.92,22.13,30.64,14.29
2023,1,16,21.48,58.69,0,3.95,0.67,22.43,31.19,13.62
2023,1,17,21.49,60.78,0,4.18,2.13,22.44,31.29,13.8
2023,1,18,21.26,62.5,0,3.58,1.02,22.47,30.68,13.54
2023,1,19,21.25,64.09,0,3.58,2.54,22.31,29.84,13.82
2023,1,20,21.37,67,0,4.12,2,22.4,29.37,14.67
2023,1,21,21.72,66.22,0,3.6,1.88,23.05,29.32,16.44
2023,1,22,21.62,64.52,0,4.27,2.14,22.7,29.73,14.99
2023,1,23,22.34,68.67,0,5.04,2.7,23.47,29.71,17.45
2023,1,24,22.28,63.47,0,6.25,3.03,23.35,30.53,16.86
2023,1,25,21.67,61.86,0,5.77,3.14,22.68,29.99,15.86
2023,1,26,21.19,59.26,0,5.27,2.47,21.85,30.28,14.22
2023,1,27,21.87,59.94,0,4.97,1.73,22.29,30.59,14.61
2023,1,28,23.12,48.69,0,3.13,0.19,23.23,31.36,17.55
2023,1,29,22.35,61.73,0,6.42,2.23,23.25,30.44,14.91
2023,1,30,23.03,64.08,0,5.16,2.47,24.14,30.13,18.01
