YEAR,MO,DY,T2M,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,SLP
2024,1,1,20.76,21.67,28.29,15.39,73.7,0,3.6,2.06,101.46
2024,1,2,20.86,21.77,28.61,15.59,71.95,0,3.52,1.97,101.41
2024,1,3,21.04,21.91,28.26,16.45,73.01,0,4.58,2.07,101.38
2024,1,4,21.58,22.43,28.91,16.9,70.15,0,5.05,2.48,101.37
2024,1,5,20.98,21.73,28.43,16.31,67.38,0,5.83,2.7,101.38
2024,1,6,20.81,21.69,29,15.18,66.03,0,5.26,2.63,101.43
2024,1,7,21.07,21.89,28.48,15.51,66.54,0,5,2.53,101.51
2024,1,8,21.27,21.85,28.01,15.5,60.04,0,6.01,2.25,101.58
2024,1,9,22.06,22.87,28.7,17.58,61.73,0,5.86,1.92,101.56
2024,1,10,22.39,23.24,29.47,16.79,61.5,0,3.32,1.28,101.47
2024,1,11,23.53,23.79,31.06,18.76,49.36,0,3.31,0.04,101.47
2024,1,12,23.27,23.82,30.92,17.21,56.3,0,3.21,0.67,101.44
2024,1,13,23.34,23.77,31.05,17.74,58.76,0,3.97,0.64,101.49
2024,1,14,23.25,23.78,31.57,16.75,51.76,0,3.05,1.33,101.38
2024,1,15,23.34,24.19,31.92,16.78,53.3,0,2.28,0.14,101.29
2024,1,16,23.17,24.58,31.2,16.74,66.7,0,4.12,1.85,101.16
2024,1,17,23.38,24.71,31.39,17.73,64.13,0,5.3,2.67,101.1
2024,1,18,23.25,24.85,30.52,17.04,62.22,0,4.84,1.06,101.22
2024,1,19,23.68,25.35,31.2,16.22,57.96,0,4.69,2.01,101.27
2024,1,20,23.68,25.1,30.75,17.32,61.46,0,5.11,1.61,101.35
2024,1,21,24.39,25.79,31.25,18.07,61.52,0,4.15,0.46,101.35
2024,1,22,25,26.58,32.56,17.91,59.56,0,4.74,1.14,101.38
2024,1,23,24.61,25.9,31.66,19.5,64.1,0,6.35,1.89,101.28
2024,1,24,24.61,26.41,31.53,19.14,62.71,0,4.22,0.82,101.31
2024,1,25,22.39,23.88,29.03,17.21,52.5,0,3.66,2.42,101.58
2024,1,26,22.19,23.96,30.09,15.02,49.62,0,3.43,2,101.77
2024,1,27,22.22,23.42,31.13,15.23,40.39,0,3.74,1.85,101.77
2024,1,28,21.64,23.03,31.01,12.78,40.91,0,3.49,2.24,101.7
2024,1,29,22.91,24.52,31.6,15.88,57.59,0,4.32,2.2,101.59
2024,1,30,22.82,24.62,31.18,15.4,51.72,0,3.76,1.79,101.47
2024,1,31,23.17,24.84,32.14,15.38,51.89,0,4.59,1.98,101.38
2024,2,1,24.36,25.57,32.44,17.72,56.43,0,5.48,1.58,101.35
2024,2,2,24.93,26.42,32.93,18,47.55,0,3.32,0.2,101.36
2024,2,3,24.97,26.77,32.86,18.03,48.72,0,3.33,1.84,101.5
2024,2,4,24.74,26.27,33.14,17.41,42.35,0,3.48,1.75,101.62
2024,2,5,25.58,27.62,34.56,18.05,54.22,0,4.04,0.37,101.55
2024,2,6,26.54,28.7,35.23,18.61,50.84,0,3.57,0.16,101.49
2024,2,7,27.73,29.79,36.1,19.73,42.93,0,2.17,0.48,101.45
2024,2,8,26.41,28.02,34.45,19.45,36.66,0,4.05,1.92,101.45
2024,2,9,25.29,27.13,34.12,17.16,37.39,0,3.98,2.23,101.5
2024,2,10,26.04,27.86,33.72,20.32,57.36,0,6.16,2.86,101.58
2024,2,11,26.17,27.99,34.3,20.55,57.25,0,6.71,3.4,101.63
2024,2,12,25.31,27,34.01,18.73,52.92,0,6.81,3.06,101.6
2024,2,13,24.82,26.56,33.88,17.33,48.77,0,6.75,2.84,101.56
2024,2,14,25.64,27.54,34.43,17.72,48.2,0,5.5,2.73,101.45
2024,2,15,25.38,27.2,33.76,18.5,42.97,0,4.66,1.78,101.5
2024,2,16,24.74,26.14,34.24,16.57,35.44,0,5.32,2.27,101.57
2024,2,17,24.82,26.63,34.17,16.7,34.61,0,3.43,1.5,101.38
2024,2,18,25.16,27.23,34.62,16.19,32.8,0,4.49,2.04,101.23
2024,2,19,25.88,28.12,35.02,17.02,43.67,0,5.02,1.65,101.23
2024,2,20,27.01,28.79,35.51,18.12,41.62,0,4.77,0.66,101.15
2024,2,21,27.65,28.41,35.52,18.76,32.59,0,4.33,0.01,101.03
2024,2,22,27.42,28.38,35.95,18.4,28.08,0,4.66,1.11,101.04
2024,2,23,26.04,28.32,34.26,18.17,40.76,0,3.72,1.03,101.1
2024,2,24,27.45,29.72,34.78,20.3,52.31,0,6.3,1.68,101.08
2024,2,25,27.22,29.53,33.53,22.05,59.11,0,5.98,2.62,101.12
2024,2,26,26.8,28.85,34.33,20.94,54.99,0,6.68,3.31,101.25
2024,2,27,26.24,28.4,34.74,18.65,48.4,0,5.32,2.16,101.33
2024,2,28,26.92,29.22,35.65,19,47.65,0,4.07,2.43,101.2
2024,2,29,27.48,29.46,34.86,19.13,43.42,0,4.01,2.04,101.24
2024,3,1,28.36,30.73,35.84,20.67,40.27,0,4.77,2.03,101.28
2024,3,2,28.93,31.32,36.87,20.93,40.03,0,5.52,2.08,101.12
2024,3,3,28.74,31.08,36.38,20.33,40.04,0,5.4,1.21,101.04
2024,3,4,29.15,31.34,36.08,21.98,36.87,0,4.42,0.32,101.1
2024,3,5,29.78,32.94,36.72,23.32,33.05,0,4.08,0.66,101.12
2024,3,6,30.22,32.78,37.63,22.76,33.98,0,4.83,1.2,101.03
2024,3,7,30.39,32.71,37.87,23.3,29.76,0,5.51,1.31,100.96
2024,3,8,29.66,32.14,37.9,23.19,27.61,0,2.94,0.2,101.06
2024,3,9,28.88,31.04,37.07,21.51,29.37,0,2.94,0.61,101.12
2024,3,10,28.96,31.17,36.43,21.62,46.13,0,5.59,2.44,101.24
2024,3,11,29.12,31.79,35.92,22.48,45.44,0,4.96,1.24,101.36
2024,3,12,30.92,33.36,38.06,22.87,40.29,0,3.7,0.63,101.17
2024,3,13,31.75,33.57,39.35,23.61,31.91,0,5.19,0.23,100.96
2024,3,14,30.83,33.39,38.06,23.07,33.05,0,3.67,0.81,101.02
2024,3,15,30.41,32.55,37.34,22.68,39.4,0.52,5.01,1.59,101
2024,3,16,29.85,31.79,37.3,23.74,45.11,2.07,6.55,2.43,101.04
2024,3,17,29.14,31.17,36.23,22.94,50.77,1.45,6.03,3.23,101.1
2024,3,18,29.31,31.37,36.38,22.72,44.39,0.42,4,1.59,101.05
2024,3,19,28.68,30.02,33.49,24.87,41.37,0.03,5.12,1.78,101.08
2024,3,20,28.33,31.24,35.54,21.5,44.24,0.03,5.17,0.28,101.13
2024,3,21,27.89,30.75,35.55,21.34,47.18,0.01,5.52,1.54,101.14
2024,3,22,28.99,32.02,37.63,20.65,44.25,0,4.19,0.37,100.86
2024,3,23,30.5,33.67,38.88,21.21,38.47,0,5.21,0.85,100.78
2024,3,24,30.44,32.6,37.32,24.88,38.34,0,5.44,2.14,101.03
2024,3,25,31.01,33.93,38.28,23.64,36.57,0,5.75,1.54,101.03
2024,3,26,31.28,34.06,38.91,23.58,35.44,0,6.12,2.09,101.07
2024,3,27,31,33.66,39.41,22.58,32.74,0,5.28,2.51,101.21
2024,3,28,31.47,33.98,39.77,23.06,31.39,0,4.85,2.2,101.03
2024,3,29,32.67,35.08,41.11,23.9,32,0,5.46,2.8,100.86
2024,3,30,32.53,34.99,40.62,26.03,32.45,0,6.33,2.11,101.01
2024,3,31,31.9,34.47,40.27,23.61,29.44,0,5.36,2.01,101.07
2024,4,1,32.76,35.92,40.78,24.07,29.65,0,4.61,1.3,100.81
2024,4,2,33.4,36.25,40.99,25.98,26.68,0,5.35,1.26,100.63
2024,4,3,32.87,34.52,38.86,26.49,30.85,0,4.41,0.74,100.75
2024,4,4,33.65,36.46,41.52,25.48,32.23,0,4.58,1.18,100.73
2024,4,5,34.56,37.91,42.14,27.53,25.02,0,4.44,0.4,100.67
2024,4,6,34.81,37.3,41.97,27.01,25.14,0,3.91,0.27,100.55
2024,4,7,34.56,36.3,41.74,26.64,27.68,0,6.13,1.6,100.5
2024,4,8,32.27,34.24,39.05,26.7,37,0,8.17,1.63,100.79
2024,4,9,30.41,33.04,38.05,23.38,49.96,0.07,6.63,3.35,100.95
2024,4,10,31.2,33.76,38.49,24.12,40.99,0,7.19,1.99,100.93
2024,4,11,31.27,33.73,38.88,24.01,38.7,0.03,5.8,3,100.96
2024,4,12,30.73,33.51,37.89,23.2,44.32,0.96,6.41,1.9,100.97
2024,4,13,31.25,34.35,38.47,23.51,40.59,0.43,5.16,1.89,100.94
2024,4,14,31.93,34.96,39.38,24.25,37.66,0,5.48,1.84,100.96
2024,4,15,32.82,35.9,40.63,24.5,33.26,0,4.6,1.92,100.95
2024,4,16,34.03,37.05,42.02,25.13,29.97,0,3.82,1.42,100.77
2024,4,17,35.07,37.71,41.53,29.14,27.49,0,4.31,0.43,100.67
2024,4,18,35.57,37.65,41.73,29.56,28.64,0,3.95,1.11,100.5
2024,4,19,34.95,36.65,39.15,30.7,31.52,0.01,3.57,0.24,100.41
2024,4,20,33.06,35.14,37.39,29.3,39.34,0.62,3.1,0.87,100.54
2024,4,21,34.17,36.95,39.71,28.35,37.15,0.07,3.81,0.56,100.56
2024,4,22,34.59,38.27,41.34,28.38,30.12,0.8,5.44,0.52,100.65
2024,4,23,33.6,36.55,41.35,26.68,29.78,0.22,6,2.44,100.57
2024,4,24,33.17,36.49,41.08,25.23,29.23,0.01,3.84,1.31,100.53
2024,4,25,33.92,36.74,42.14,25.53,27.93,0,5.15,2.33,100.52
2024,4,26,34.66,37.61,42.84,25.56,28.04,0,6.2,2.34,100.47
2024,4,27,34.61,37.62,42.15,26.14,31.39,0,4.72,2.11,100.51
2024,4,28,35.5,38.61,43.03,27.72,26.89,0,4.45,2.32,100.51
