YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,SLP,T2M,TS,T2M_MAX,T2M_MIN
2020,1,1,0.86,76.87,6.04,2.84,101.53,20.69,21.2,27.81,15.21
2020,1,2,10.85,83.63,4.7,0.61,101.57,20.82,21.3,27.33,16.76
2020,1,3,4.83,82.49,3.68,0.28,101.51,19.69,20.56,26.25,15.18
2020,1,4,0.06,76.89,4.23,1.49,101.42,19.61,20.6,26.61,14.86
2020,1,5,0,72.57,5.88,2.8,101.59,17.76,18.46,24.69,13.37
2020,1,6,0,69.57,4.53,1.17,101.7,18.05,18.99,26.76,10.85
2020,1,7,0,69.76,3.43,0.57,101.51,19.94,20.92,28.01,12.14
2020,1,8,1.87,79.65,6.42,0.26,101.25,22.43,22.79,28.13,17.55
2020,1,9,0.36,79.29,4.39,1.1,101.45,20.54,21,25.36,16.02
2020,1,10,0,62.79,5.4,2.89,101.65,16.57,17.47,24.6,10.63
2020,1,11,0,61.79,3.87,1.82,101.73,15.25,16.24,25.13,7.64
2020,1,12,0,59.25,3.59,2.31,101.52,15.7,16.25,25.98,7.84
2020,1,13,0,49.98,3.44,0.36,101.25,18.4,18.26,29.17,11.03
2020,1,14,0,55.75,3.37,1.11,101.23,19.32,19.64,29.23,11.41
2020,1,15,0,64.13,5.68,2.41,101.27,19.95,20.31,28.95,12.43
2020,1,16,0,64.94,6.21,2.59,101.21,21.21,21.74,29.15,15.29
2020,1,17,0,68.53,4.77,1.04,101.29,21.51,22.19,28.8,14.54
2020,1,18,0,71.61,3.06,1.11,101.35,22.15,23.2,28.82,15.53
2020,1,19,0,70.82,4.7,0.59,101.45,21.72,22.95,28.6,16.82
2020,1,20,0,69.14,3.8,0.97,101.55,20.16,21.56,28.03,13.52
2020,1,21,0,67.65,4.88,2.2,101.57,21.75,22.54,29.93,14.74
2020,1,22,0,65.04,5.59,1.69,101.63,22.82,23.66,30.66,16.12
2020,1,23,0,62.92,3.42,1.17,101.57,22.51,23.44,30.41,16.76
2020,1,24,0,64.29,4.32,2.24,101.59,21.21,22.33,29.33,15.05
2020,1,25,0,58.63,3.2,0.86,101.46,22.06,22.91,31.11,14.71
2020,1,26,0,52.32,4.95,1.41,101.36,21.78,22.51,30.83,15.26
2020,1,27,0,46.9,4.23,1.75,101.14,23.23,24.13,32.86,14.27
2020,1,28,0,46,4.37,1.99,101.04,24.75,25.65,32.3,18.83
2020,1,29,0,53.59,5.37,1.75,101.37,22.76,24.36,30.76,16.73
2020,1,30,0,56.35,4.13,2.54,101.49,20.69,22.2,28.98,14.34
2020,1,31,0,49.44,4.68,1.5,101.32,19.77,21.4,29.05,11.38
2020,2,1,0.01,53.96,6.45,0.61,101.38,21.35,22.99,29.14,13.92
2020,2,2,0.04,59.3,4.95,1.56,101.59,21.9,23.43,29.05,14.98
2020,2,3,0.02,65.34,5.14,2.78,101.55,22.23,23.62,28.84,17.92
