-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: latitude  19.672   longitude 78.5359 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 334.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
SLP             MERRA-2 Sea Level Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,RH2M,WS10M_MAX,WS10M_MIN,T2M,TS,T2M_MAX,T2M_MIN,SLP
2023,1,1,0.0,57.9,3.63,0.48,21.37,21.8,30.35,14.07,101.6
2023,1,2,0.0,65.09,3.25,0.26,20.58,21.48,29.53,13.58,101.64
2023,1,3,0.03,65.17,2.56,0.8,21.27,22.09,29.42,13.83,101.61
2023,1,4,0.34,71.07,3.19,0.33,22.11,22.93,28.72,17.31,101.55
2023,1,5,0.04,75.17,4.81,1.55,20.91,21.88,27.23,17.07,101.75
2023,1,6,0.0,69.18,4.03,2.45,20.33,21.23,27.82,14.7,101.91
2023,1,7,0.0,55.72,4.41,2.26,18.16,18.66,27.06,11.57,101.83
2023,1,8,0.0,42.3,3.57,2.25,16.19,16.77,27.41,7.21,101.65
2023,1,9,0.0,44.43,3.43,2.02,17.32,17.61,28.76,8.09,101.7
2023,1,10,0.0,45.67,3.01,2.1,19.05,18.91,30.18,9.73,101.62
2023,1,11,0.0,39.83,2.48,0.13,20.67,19.83,31.01,11.21,101.38
2023,1,12,0.0,37.53,4.09,1.6,21.36,20.09,31.13,12.29,101.18
2023,1,13,0.0,38.48,2.04,0.26,21.94,20.51,30.92,14.68,101.24
2023,1,14,0.0,46.22,3.02,0.7,21.25,20.93,30.58,12.8,101.28
2023,1,15,0.0,53.41,3.27,0.7,20.77,21.32,30.17,13.45,101.22
2023,1,16,0.0,52.52,3.12,1.34,21.2,21.93,31.28,13.38,101.22
2023,1,17,0.0,50.25,2.77,1.19,22.69,22.46,32.12,13.99,101.26
2023,1,18,0.0,52.12,2.96,0.34,21.91,22.38,31.18,14.6,101.45
2023,1,19,0.0,54.42,3.12,1.37,22.28,23.2,31.28,14.75,101.46
2023,1,20,0.0,55.44,4.71,1.9,22.77,23.6,31.31,15.49,101.38
2023,1,21,0.0,55.36,4.02,1.1,23.35,24.33,31.5,16.39,101.34
2023,1,22,0.0,48.69,4.09,1.88,22.99,23.89,31.6,15.88,101.27
2023,1,23,0.0,57.46,4.96,2.28,23.08,23.97,31.44,15.86,101.21
2023,1,24,0.0,52.05,6.01,2.79,23.75,24.6,32.5,16.88,101.2
2023,1,25,0.0,46.45,5.07,3.12,23.56,24.45,32.93,16.49,101.19
2023,1,26,0.0,44.28,3.61,1.23,23.2,23.93,32.62,14.75,101.25
2023,1,27,0.0,39.33,3.25,1.05,23.26,23.97,32.73,15.95,101.32
2023,1,28,0.0,46.53,3.63,1.98,23.16,24.26,32.5,14.98,101.24
2023,1,29,0.0,47.86,5.95,2.68,24.0,24.84,32.67,16.25,101.11
2023,1,30,0.0,52.76,4.89,2.11,24.73,25.68,32.75,17.86,101.31
2023,1,31,0.0,47.55,4.24,2.2,24.86,26.09,32.22,17.81,101.3
2023,2,1,0.0,46.04,6.24,2.93,23.18,24.23,30.91,17.33,101.42
2023,2,2,0.0,26.91,5.49,2.89,20.73,21.58,30.55,13.11,101.5
2023,2,3,0.0,25.7,3.76,2.08,20.68,21.76,31.68,10.74,101.45
2023,2,4,0.0,22.4,3.59,1.98,21.72,22.73,32.82,12.09,101.28
2023,2,5,0.0,21.83,3.14,2.12,22.34,22.96,33.11,12.77,101.19
2023,2,6,0.0,20.69,2.79,0.54,23.91,24.3,34.43,16.09,101.12
2023,2,7,0.0,27.95,2.66,0.9,24.51,25.0,34.07,16.12,101.07
2023,2,8,0.0,25.64,4.57,1.17,24.11,24.73,34.1,15.11,101.22
2023,2,9,0.0,22.0,3.22,1.64,23.77,24.89,34.87,13.35,101.24
2023,2,10,0.0,19.86,3.4,0.78,25.11,25.21,35.38,16.8,101.29
2023,2,11,0.0,18.2,3.64,2.16,25.92,25.76,36.31,16.3,101.28
2023,2,12,0.0,25.05,5.53,2.95,23.95,25.05,34.78,14.13,101.43
2023,2,13,0.0,18.99,5.37,1.37,23.52,23.59,33.29,13.41,101.53
2023,2,14,0.0,14.79,4.75,0.49,23.77,23.45,34.01,12.82,101.44
2023,2,15,0.0,15.11,4.07,0.45,25.75,24.46,34.99,15.22,101.25
2023,2,16,0.0,18.97,4.24,0.44,25.94,25.65,36.18,14.4,101.23
2023,2,17,0.0,24.94,4.91,0.47,25.36,25.56,34.62,15.43,101.29
2023,2,18,0.0,25.66,3.96,0.93,25.49,25.92,35.0,15.45,101.28
2023,2,19,0.0,26.15,3.03,0.61,26.18,26.16,35.63,15.88,101.32
2023,2,20,0.0,20.15,2.68,0.33,27.07,27.01,36.28,18.12,101.24
2023,2,21,0.0,17.4,2.93,0.21,28.48,28.39,38.13,18.66,101.18
2023,2,22,0.0,14.07,1.72,0.64,28.46,28.01,37.66,19.43,101.16
2023,2,23,0.0,13.73,3.02,0.28,28.09,27.63,37.4,16.92,101.14
2023,2,24,0.0,15.23,4.19,0.46,27.63,27.15,37.03,17.01,101.29
2023,2,25,0.0,14.81,3.52,0.3,27.44,27.7,37.23,18.3,101.43
2023,2,26,0.0,19.66,3.03,0.99,27.17,28.3,36.96,17.94,101.48
2023,2,27,0.0,26.96,3.75,0.93,27.24,28.78,36.57,17.88,101.46
2023,2,28,0.0,28.67,4.65,2.38,27.81,29.53,36.69,18.96,101.48
2023,3,1,0.0,28.39,3.46,2.4,28.09,29.97,36.56,19.71,101.54
2023,3,2,0.0,25.98,4.06,0.9,28.46,29.13,36.21,19.93,101.61
2023,3,3,0.0,27.41,3.89,0.77,29.23,29.85,36.86,21.73,101.62
2023,3,4,0.0,26.49,4.08,2.22,29.05,30.45,37.06,21.71,101.62
2023,3,5,0.0,21.01,3.57,2.21,28.51,29.85,37.2,19.9,101.56
2023,3,6,0.0,22.12,3.2,1.93,28.31,29.51,36.7,20.13,101.39
2023,3,7,0.11,24.62,3.14,1.59,27.34,28.77,35.39,20.52,101.45
2023,3,8,0.04,26.64,3.27,1.23,27.75,30.13,35.98,19.36,101.43
2023,3,9,0.0,24.92,3.06,1.46,28.09,30.33,35.67,19.87,101.34
2023,3,10,0.0,23.08,3.0,0.95,28.99,31.46,36.46,22.37,101.28
2023,3,11,0.0,25.59,2.95,1.66,28.26,30.38,36.48,20.42,101.3
2023,3,12,0.0,25.18,2.89,1.83,28.87,30.59,37.23,20.26,101.25
2023,3,13,0.0,28.01,3.11,1.75,28.67,29.86,35.92,21.3,101.15
2023,3,14,0.0,23.93,2.97,0.23,29.81,31.11,37.23,24.42,100.94
2023,3,15,0.0,24.59,3.96,1.87,29.19,30.75,37.04,20.83,100.85
2023,3,16,1.58,32.92,3.1,0.44,28.91,30.66,35.14,23.42,101.01
2023,3,17,0.83,43.21,4.18,2.01,26.97,28.41,31.76,23.27,101.13
2023,3,18,6.91,51.22,4.23,1.17,27.01,29.08,33.06,21.66,100.96
2023,3,19,2.9,63.73,4.99,0.61,25.56,27.63,30.94,21.42,100.82
2023,3,20,0.17,54.13,3.91,0.22,26.8,29.55,33.92,19.48,100.67
2023,3,21,0.0,42.67,5.84,1.15,28.01,29.86,34.58,20.58,100.7
2023,3,22,0.0,40.33,3.36,1.38,29.17,31.83,35.81,22.0,100.76
2023,3,23,0.01,37.29,3.19,1.21,29.46,32.32,35.53,23.21,100.77
